infraction_description,set_fine_amount,location2
PARK IN A FIRE ROUTE,250,25 COUGAR CRT
PARK IN A FIRE ROUTE,250,915 MIDLAND AVE
PARK IN A FIRE ROUTE,250,40 GORDONRIDGE PL
PARK IN A FIRE ROUTE,250,740 MIDLAND AVE
PARK IN A FIRE ROUTE,250,35 VALLEYWOODS RD
PARK IN A FIRE ROUTE,250,120 TOWN HAVEN PL
PARK IN A FIRE ROUTE,250,35 VALLEYWOODS RD
PARK IN A FIRE ROUTE,250,1470 MIDLAND AVE
PARK IN A FIRE ROUTE,250,6 FOREST LANEWAY
PARK IN A FIRE ROUTE,250,85 ELLESMERE RD
PARK IN A FIRE ROUTE,250,85 ELLESMERE RD
PARK IN A FIRE ROUTE,250,1021 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,1021 BIRCHMOUNT RD
PARK IN A FIRE ROUTE,250,110 CHALKFARM DR
PARK IN A FIRE ROUTE,250,240 WELLESLEY ST E
PARK IN A FIRE ROUTE,250,16 HARRISON GARDEN BLVD
PARK IN A FIRE ROUTE,250,30 GORDONRIDGE PL
PARK IN A FIRE ROUTE,250,281 MUTUAL ST
PARK IN A FIRE ROUTE,250,1 EGLINTON SQ
PARK IN A FIRE ROUTE,250,160 CHALFKARM DR
PARK IN A FIRE ROUTE,250,300 BOROUGH DR
PARK IN A FIRE ROUTE,250,430 PROGRESS AVE
PARK IN A FIRE ROUTE,250,33 ORCHARD VIEW BLVD
PARK IN A FIRE ROUTE,250,33 ORCHARD VIEW BLVD
PARK IN A FIRE ROUTE,250,10 MARTHA EATON WAY
PARK IN A FIRE ROUTE,250,2200 LAKE SHORE BLVD W
PARK IN A FIRE ROUTE,250,10 MARTHA EATON WAY
PARK IN A FIRE ROUTE,250,10 MARTHA EATON WAY
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,15 TOBERMORY DRIVE
PARK IN A FIRE ROUTE,250,45 OVERLEA BLVD
PARK IN A FIRE ROUTE,250,146 WILLIAM DUNCAN RD
PARK IN A FIRE ROUTE,250,14 CARLUKE CRESCENT
PARK IN A FIRE ROUTE,250,605 FINCH AVENUE WEST
PARK IN A FIRE ROUTE,250,90 EASTDALE AVE
PARK IN A FIRE ROUTE,250,281 MUTUAL ST
PARK IN A FIRE ROUTE,250,10 MARTHA EATON WAY
PARK IN A FIRE ROUTE,250,30 GILDER DR
PARK IN A FIRE ROUTE,250,330 DIXON RD
PARK IN A FIRE ROUTE,250,55 OUTLOOK AVE
PARK IN A FIRE ROUTE,250,55 OUTLOOK AVE
PARK IN A FIRE ROUTE,250,770 DON MILLS RD
PARK IN A FIRE ROUTE,250,23 BRANT ST
PARK IN A FIRE ROUTE,250,55 MILL ST
PARK IN A FIRE ROUTE,250,2757 KIPLING AVE
PARK IN A FIRE ROUTE,250,2777 KIPLING AVE
PARK IN A FIRE ROUTE,250,6 FOREST LANEWAY
PARK IN A FIRE ROUTE,250,6 FOREST LANEWAY
PARK IN A FIRE ROUTE,250,6 FOREST LANEWAY
PARK IN A FIRE ROUTE,250,2737 KIPLING AVE
PARK IN A FIRE ROUTE,250,2737 KIPLING AVE
PARK IN A FIRE ROUTE,250,2737 KIPLING AVE
PARK IN A FIRE ROUTE,250,2737 KIPLING AVE
PARK IN A FIRE ROUTE,250,5 ROWNTREE AVE
PARK IN A FIRE ROUTE,250,1 EGLINTON SQ
PARK IN A FIRE ROUTE,250,77 MAITLAND PL
PARK IN A FIRE ROUTE,250,77 MAITLAND PL
PARK IN A FIRE ROUTE,250,77 MAITLAND PL
PARK IN A FIRE ROUTE,250,1235 WILSON AVE
PARK IN A FIRE ROUTE,250,30 DENARDA ST
PARK IN A FIRE ROUTE,250,30 DENARDA ST
PARK IN A FIRE ROUTE,250,30 DENARDA ST
PARK IN A FIRE ROUTE,250,415 JARVIS ST
PARK IN A FIRE ROUTE,250,121 MCMAHON DR
PARK IN A FIRE ROUTE,250,331 TRUDELLE ST
PARK IN A FIRE ROUTE,250,500 MURRAY ROSS PKWY
PARK IN A FIRE ROUTE,250,500 MURRAY ROSS PKWY
PARK IN A FIRE ROUTE,250,155 DOLLY VARDEN BLVD
PARK IN A FIRE ROUTE,250,155 DOLLY VARDEN BLVD
PARK IN A FIRE ROUTE,250,550 SCARBOROUGH GOLF CLUB RD
PARK IN A FIRE ROUTE,250,132 CLEANSIDE RD
PARK IN A FIRE ROUTE,250,331 TRUDELLE ST
PARK IN A FIRE ROUTE,250,125 BLUE JAYS WAY
PARK IN A FIRE ROUTE,250,50 WEYBRIGHT CRT
PARK IN A FIRE ROUTE,250,50 WEYBRIGHT CRT
PARK IN A FIRE ROUTE,250,50 WEYBRIGHT CRT
PARK IN A FIRE ROUTE,250,1571 SANDHURST CRCL
PARK IN A FIRE ROUTE,250,1571 SANDHURST CRCL
PARK IN A FIRE ROUTE,250,1947 LAWRENCE AVE WEST
PARK IN A FIRE ROUTE,250,90 EASTDALE AVE
PARK IN A FIRE ROUTE,250,4801 KEELE ST
PARK IN A FIRE ROUTE,250,240 WELLESLEY ST E
PARK IN A FIRE ROUTE,250,30 DENARDA ST
PARK IN A FIRE ROUTE,250,86 ENGLISH IVYWAY
PARK IN A FIRE ROUTE,250,1 MASSEY SQ
PARK IN A FIRE ROUTE,250,720 TRETHEWEY DR
PARK IN A FIRE ROUTE,250,1 MASSEY SQ
PARK IN A FIRE ROUTE,250,55 OUTLOOK AVE
PARK IN A FIRE ROUTE,250,55 OUTLOOK AVE
PARK IN A FIRE ROUTE,250,55 OUTLOOK AVE
