infraction_description 	 set_fine_amount 	 location2
PARK IN A FIRE ROUTE 	 250 	 2352 ST CLAIR AVE W
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 6 VENA WAY
PARK IN A FIRE ROUTE 	 250 	 55 OUTLOOK AVE
PARK IN A FIRE ROUTE 	 250 	 55 OUTLOOK AVE
PARK IN A FIRE ROUTE 	 250 	 65 THOMAS MULHOLLAND DR
PARK IN A FIRE ROUTE 	 250 	 60 RAPONI CRCL
PARK IN A FIRE ROUTE 	 250 	 60 RAPONI CRCL
PARK IN A FIRE ROUTE 	 250 	 60 RAPONI CRCL
PARK IN A FIRE ROUTE 	 250 	 10 SAN ROMANOWAY
PARK IN A FIRE ROUTE 	 250 	 76 CASTLEBURY CRES
PARK IN A FIRE ROUTE 	 250 	 555 THE WEST MALL
PARK IN A FIRE ROUTE 	 250 	 20 GODSTONE RD
PARK IN A FIRE ROUTE 	 250 	 20 GODSTONE RD
PARK IN A FIRE ROUTE 	 250 	 70 TOWN CENTRE CRT
PARK IN A FIRE ROUTE 	 250 	 21 LIVONIA PL
PARK IN A FIRE ROUTE 	 250 	 70 TOWN CENTRE CRT
PARK IN A FIRE ROUTE 	 250 	 60 TOWN CENTRE CRT
PARK IN A FIRE ROUTE 	 250 	 21 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 21 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 715 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 219 FORT YORK BLVD
PARK IN A FIRE ROUTE 	 250 	 30 FIELDWAY RD
PARK IN A FIRE ROUTE 	 250 	 2425 JANE ST
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 30 DENARDA ST
PARK IN A FIRE ROUTE 	 250 	 1270 FINCH AVE WEST 
PARK IN A FIRE ROUTE 	 250 	 4662 KINGSTON RD
PARK IN A FIRE ROUTE 	 250 	 275 MAIN ST
PARK IN A FIRE ROUTE 	 250 	 275 MAIN ST
PARK IN A FIRE ROUTE 	 250 	 345 THE EAST MALL
PARK IN A FIRE ROUTE 	 250 	 21 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 325 BOGERT AVENUE
PARK IN A FIRE ROUTE 	 250 	 1333 SHEPPARD AVE EAST
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE
PARK IN A FIRE ROUTE 	 250 	 1333 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 428 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 428 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 85 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 85 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 85 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 85 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 225 VAN HORNE AVE
PARK IN A FIRE ROUTE 	 250 	 1571 SANDHURST CRCL
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 22 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 8 TELEGRAM MEWS
PARK IN A FIRE ROUTE 	 250 	 70 TOWN CENTRE COURT
PARK IN A FIRE ROUTE 	 250 	 121 MCMAHON DR
PARK IN A FIRE ROUTE 	 250 	 739 BIRCHMOUNT RD
PARK IN A FIRE ROUTE 	 250 	 121 MCMAHON DR
PARK IN A FIRE ROUTE 	 250 	 5661 STEELES AVE E
PARK IN A FIRE ROUTE 	 250 	 280 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 700 ONTARIO ST
PARK IN A FIRE ROUTE 	 250 	 15 SINGER CRT
PARK IN A FIRE ROUTE 	 250 	 33 SINGER CRT
PARK IN A FIRE ROUTE 	 250 	 30 GORDONRIDGE PL
PARK IN A FIRE ROUTE 	 250 	 3850 SHEPPARD AV E
PARK IN A FIRE ROUTE 	 250 	 41 ANTRIM CRES
PARK IN A FIRE ROUTE 	 250 	 80 FOREST MANOR RD
PARK IN A FIRE ROUTE 	 250 	 120 DUNDALK DR
PARK IN A FIRE ROUTE 	 250 	 85 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 10 MARTHA EATON WAY
PARK IN A FIRE ROUTE 	 250 	 10 MARTHA EATON WAY
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST 
PARK IN A FIRE ROUTE 	 250 	 3050 LAWRENCE AVENUE EAST
PARK IN A FIRE ROUTE 	 250 	 30 CARNATION AVE
PARK IN A FIRE ROUTE 	 250 	 5 MARINER TER
PARK IN A FIRE ROUTE 	 250 	 5 MARINER TER
PARK IN A FIRE ROUTE 	 250 	 550 BIRCHMOUNT RD
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 428 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 85 ELLESMERE RD
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 20 GRAYDON HALL DR
PARK IN A FIRE ROUTE 	 250 	 25 VIEWCREST CRCL
PARK IN A FIRE ROUTE 	 250 	 219 FORT YORK BLVD
PARK IN A FIRE ROUTE 	 250 	 10 RODDA BLVD
PARK IN A FIRE ROUTE 	 250 	 240 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 115 TORBARRIE RD
PARK IN A FIRE ROUTE 	 250 	 115 TORBARRIE RD
PARK IN A FIRE ROUTE 	 250 	 1360 DANFORTH RD
PARK IN A FIRE ROUTE 	 250 	 4 FOREST LANEWAY
PARK IN A FIRE ROUTE 	 250 	 160 HORNER AVE
PARK IN A FIRE ROUTE 	 250 	 4001 LESLIE ST
PARK IN A FIRE ROUTE 	 250 	 5 BALMORAL AVE
PARK IN A FIRE ROUTE 	 250 	 1443 YONGE ST
PARK IN A FIRE ROUTE 	 250 	 280 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 260 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 31 TAPSCOTT RD
PARK IN A FIRE ROUTE 	 250 	 5085 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 5085 SHEPPARD AVE E
PARK IN A FIRE ROUTE 	 250 	 280 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 320 DIXON RD
PARK IN A FIRE ROUTE 	 250 	 320 DIXON RD
PARK IN A FIRE ROUTE 	 250 	 260 WEATHERELL ST
PARK IN A FIRE ROUTE 	 250 	 59 WATERFORD DR
PARK IN A FIRE ROUTE 	 250 	 59 WATERFORD DR
PARK IN A FIRE ROUTE 	 250 	 240 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 240 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 280 WELLESLEY ST E
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 1090 DON MILLS RD
PARK IN A FIRE ROUTE 	 250 	 6 FOUNDRY AVE
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 15 ICEBOAT TER
PARK IN A FIRE ROUTE 	 250 	 2555 PROVENCE TRAIL
PARK IN A FIRE ROUTE 	 250 	 25-55 PROVENCE TRAIL
PARK IN A FIRE ROUTE 	 250 	 2900 WARDEN AVE
