infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,105 KING ST E
PARK ON PRIVATE PROPERTY,30,205 HUMBER COLLEGE BLVD
PARK ON PRIVATE PROPERTY,30,1049 MILITARY TRL
PARK ON PRIVATE PROPERTY,30,4050 YONGE ST
PARK ON PRIVATE PROPERTY,30,1 JEFFERSON AVE
PARK ON PRIVATE PROPERTY,30,4050 YONGE ST
PARK ON PRIVATE PROPERTY,30,280 WELLESLEY ST E
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,1 JEFFERSON AVE
PARK ON PRIVATE PROPERTY,30,280 WELLESLEY ST E
PARK ON PRIVATE PROPERTY,30,4205 KEELE ST
PARK ON PRIVATE PROPERTY,30,88 MUTUAL ST
PARK ON PRIVATE PROPERTY,30,4050 YONGE ST
PARK ON PRIVATE PROPERTY,30,325 FRONT ST W
PARK ON PRIVATE PROPERTY,30,60 COLBORNE ST
PARK ON PRIVATE PROPERTY,30,190 ELIZABETH ST
PARK ON PRIVATE PROPERTY,30,25 TOWN CENTRE CRT
PARK ON PRIVATE PROPERTY,30,1 ATLANTIC AVE
PARK ON PRIVATE PROPERTY,30,1049 MILITARY TRL
PARK ON PRIVATE PROPERTY,30,325 BOGERT AVE
PARK ON PRIVATE PROPERTY,30,325 FRONT ST WEST
PARK ON PRIVATE PROPERTY,30,108 CHESTNUT ST
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,60 COLBORNE ST
PARK ON PRIVATE PROPERTY,30,4050 YONGE ST
PARK ON PRIVATE PROPERTY,30,205 HUMBER COLLEGE BLVD
PARK ON PRIVATE PROPERTY,30,33 SHORE BREEZE DR
PARK ON PRIVATE PROPERTY,30,325 BOGERT AVE
PARK ON PRIVATE PROPERTY,30,1 ATLANTIC AVE
PARK ON PRIVATE PROPERTY,30,388 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,4205 KEELE ST
PARK ON PRIVATE PROPERTY,30,90 EGLINTON AVE E
PARK ON PRIVATE PROPERTY,30,388 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,60 COLBORNE ST
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,108 CHESTNUT ST
PARK ON PRIVATE PROPERTY,30,71 PRINCE ARTHUR AVE
PARK ON PRIVATE PROPERTY,30,2191 YONGE ST
PARK ON PRIVATE PROPERTY,30,388 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,60 COLBORNE ST
PARK ON PRIVATE PROPERTY,30,325 BOGERT AVE
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,32 ATLANTIC AVE
PARK ON PRIVATE PROPERTY,30,388 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,1049 MILITARY TRL
PARK ON PRIVATE PROPERTY,30,2680 LAWRENCE AVE E
PARK ON PRIVATE PROPERTY,30,5500 YONGE ST
PARK ON PRIVATE PROPERTY,30,21 COLONEL SAMUEL SMITH PARK DRIVE
PARK ON PRIVATE PROPERTY,30,4205 KEELE ST
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,5 HANNA AVE
PARK ON PRIVATE PROPERTY,30,5 HANNA AVE
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,90 EGLINTON AVE E
PARK ON PRIVATE PROPERTY,30,5500 YONGE
PARK ON PRIVATE PROPERTY,30,108 CHESTNUT ST
PARK ON PRIVATE PROPERTY,30,388 CARLAW AVE
PARK ON PRIVATE PROPERTY,30,1 KING'S COLLEGE CIRCLE
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,1049 MILITARY TRL
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,1049 MILITARY TRL
PARK ON PRIVATE PROPERTY,30,12 HART HOUSE CIRCLE
PARK ON PRIVATE PROPERTY,30,10 OLD MEADOW LANE
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,5 HANNA AVE
PARK ON PRIVATE PROPERTY,30,388 RICHMOND ST W
PARK ON PRIVATE PROPERTY,30,5 HANNA AVE
PARK ON PRIVATE PROPERTY,30,1049 MILITARY TRL
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,108 CHESTNUT ST
PARK ON PRIVATE PROPERTY,30,162 CUMBERLAND ST
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,4 GREENTREE CRT
PARK ON PRIVATE PROPERTY,30,149 AUGUSTA AVE
PARK ON PRIVATE PROPERTY,30,164 CUMBERLAND ST
PARK ON PRIVATE PROPERTY,30,10 LOWER JARVIS ST
PARK ON PRIVATE PROPERTY,30,5500 YONGE ST
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,4 GREENTREE CRT
PARK ON PRIVATE PROPERTY,30,10 LOWER JARVIS ST
PARK ON PRIVATE PROPERTY,30,67 MOWAT AVE
PARK ON PRIVATE PROPERTY,30,4 GREENTREE CRT
PARK ON PRIVATE PROPERTY,30,10 LOWER JARVIS ST
PARK ON PRIVATE PROPERTY,30,FINCH AVE E
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,10 LOWER JARVIS ST
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST
PARK ON PRIVATE PROPERTY,30,1049 MILITARY TRL
PARK ON PRIVATE PROPERTY,30,1205 QUEEN ST WEST
PARK ON PRIVATE PROPERTY,30,4 GREENTREE CRT
PARK ON PRIVATE PROPERTY,30,10 LOWER JARVIS ST
PARK ON PRIVATE PROPERTY,30,1750 FINCH AVE E
PARK ON PRIVATE PROPERTY,30,3199 LAKESHORE BLVD W
PARK ON PRIVATE PROPERTY,30,4 GREENTREE CRT
PARK ON PRIVATE PROPERTY,30,10 LOWER JARVIS ST
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST
PARK ON PRIVATE PROPERTY,30,10 LOWER JARVIS ST
PARK ON PRIVATE PROPERTY,30,171 EAST LIBERTY ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
