infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,2110 KEELE ST
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,125 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,3 GLAMORGAN AVE
PARK ON PRIVATE PROPERTY,30,101 CHARLES ST E
PARK ON PRIVATE PROPERTY,30,101 CHARLES ST E
PARK ON PRIVATE PROPERTY,30,101 CHARLES ST E
PARK ON PRIVATE PROPERTY,30,101 CHARLES ST E
PARK ON PRIVATE PROPERTY,30,101 CHARLES ST E
PARK ON PRIVATE PROPERTY,30,75 THORNCLIFFE PARK DR
PARK ON PRIVATE PROPERTY,30,2212 LAKE SHORE BLVD W
PARK ON PRIVATE PROPERTY,30,101 CHARLES ST E
PARK ON PRIVATE PROPERTY,30,241 CHURCH ST
PARK ON PRIVATE PROPERTY,30,241 CHURCH ST
PARK ON PRIVATE PROPERTY,30,241 CHURCH ST
PARK ON PRIVATE PROPERTY,30,241 CHURCH ST
PARK ON PRIVATE PROPERTY,30,20 BRUYERES MEWS
PARK ON PRIVATE PROPERTY,30,241 CHURCH ST
PARK ON PRIVATE PROPERTY,30,20 BRUYERES MEWS
PARK ON PRIVATE PROPERTY,30,20 BRUYERES MEWS
PARK ON PRIVATE PROPERTY,30,20 BRUYERES MEWS
PARK ON PRIVATE PROPERTY,30,603 EVANS AVE
PARK ON PRIVATE PROPERTY,30,603 EVANS AVE
PARK ON PRIVATE PROPERTY,30,3941 LAWRENCE AVE E
PARK ON PRIVATE PROPERTY,30,20 EDGECLIFF GOLFWAY
PARK ON PRIVATE PROPERTY,30,10 ROANOKE RD
PARK ON PRIVATE PROPERTY,30,10 ROANOKE RD
PARK ON PRIVATE PROPERTY,30,326 DUFFERIN ST
PARK ON PRIVATE PROPERTY,30,10 ROANOKE RD
PARK ON PRIVATE PROPERTY,30,10 ROANOKE RD
PARK ON PRIVATE PROPERTY,30,10 ROANOKE RD
PARK ON PRIVATE PROPERTY,30,20 EDGECLIFF GOLFWAY
PARK ON PRIVATE PROPERTY,30,25 CARLTON ST
PARK ON PRIVATE PROPERTY,30,20 EDGECLIFF GOLFWAY
PARK ON PRIVATE PROPERTY,30,209 FORT YORK BLVD
PARK ON PRIVATE PROPERTY,30,633 VAUGHAN RD
PARK ON PRIVATE PROPERTY,30,345 SENTINEL RD
PARK ON PRIVATE PROPERTY,30,20 THOMAS RILEY RD
PARK ON PRIVATE PROPERTY,30,75 QUEENS WHARF RD
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,21 DENISON RD E
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,21 DENISON RD E
PARK ON PRIVATE PROPERTY,30,35 BASTION ST
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,35 BASTION ST
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,35 BASTION ST
PARK ON PRIVATE PROPERTY,30,35 BASTION ST
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,265 DIXON RD
PARK ON PRIVATE PROPERTY,30,35 BASTION ST
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,35 BASTION ST
PARK ON PRIVATE PROPERTY,30,265 DIXON RD
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,1555 BIRCHMOUNT RD
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
PARK ON PRIVATE PROPERTY,30,103 THE QUEENSWAY
