infraction_description,set_fine_amount,location2,province
PARK ON PRIVATE PROPERTY,30, 36 HOWARD PARK AVE,ON
PARK ON PRIVATE PROPERTY,30,,ON
PARK ON PRIVATE PROPERTY,30,,PQ
PARK ON PRIVATE PROPERTY,30,05 HUMBER COLLEGE BLVD,ON
PARK ON PRIVATE PROPERTY,30,1 A LEE CENTRE DR,ON
PARK ON PRIVATE PROPERTY,30,1 AMARANTH CRT,ON
PARK ON PRIVATE PROPERTY,30,1 APOLLO PL,ON
PARK ON PRIVATE PROPERTY,30,1 ARDWICK BLVD,ON
PARK ON PRIVATE PROPERTY,30,1 ARDWICK BLVD,SK
PARK ON PRIVATE PROPERTY,30,1 ARDWOCL B;VD,ON
PARK ON PRIVATE PROPERTY,30,1 ARMEL COURT,ON
PARK ON PRIVATE PROPERTY,30,1 ATLANTIC AVE,ON
PARK ON PRIVATE PROPERTY,30,1 AVONDALE AVE,ON
PARK ON PRIVATE PROPERTY,30,1 BEDFORD RD,ON
PARK ON PRIVATE PROPERTY,30,1 BEDFORD RD,XX
PARK ON PRIVATE PROPERTY,30,1 BELLA VISTA WAY,ON
PARK ON PRIVATE PROPERTY,30,1 BIGGIN CRT,ON
PARK ON PRIVATE PROPERTY,30,1 BLOOR ST E,ON
PARK ON PRIVATE PROPERTY,30,1 BRAHMS AVENUE,ON
PARK ON PRIVATE PROPERTY,30,1 BRIDGEPOINT DR,ON
PARK ON PRIVATE PROPERTY,30,1 BRIDGEPOINT DR.,ON
PARK ON PRIVATE PROPERTY,30,1 BRIDGEPOINT DRIVE,ON
PARK ON PRIVATE PROPERTY,30,1 CANYO AVE,ON
PARK ON PRIVATE PROPERTY,30,1 CANYON AVE,NY
PARK ON PRIVATE PROPERTY,30,1 CANYON AVE,ON
PARK ON PRIVATE PROPERTY,30,1 CAYAN AVE,ON
PARK ON PRIVATE PROPERTY,30,1 CLARENDON AVE,PA
PARK ON PRIVATE PROPERTY,30,1 CLAUDE AVE,ON
PARK ON PRIVATE PROPERTY,30,1 COIN ST,ON
PARK ON PRIVATE PROPERTY,30,1 COLE ST,ON
PARK ON PRIVATE PROPERTY,30,1 CONCORD AVE,ON
PARK ON PRIVATE PROPERTY,30,1 CONCORDE PL,ON
PARK ON PRIVATE PROPERTY,30,1 DANFORTH AVE,ON
PARK ON PRIVATE PROPERTY,30,1 DARTNELL AVE,ON
PARK ON PRIVATE PROPERTY,30,1 DE BOERS DR,ON
PARK ON PRIVATE PROPERTY,30,1 DEAN PARK RD,ON
PARK ON PRIVATE PROPERTY,30,1 DEAUVILLE LANE,ON
PARK ON PRIVATE PROPERTY,30,1 DORNEY CRT,ON
PARK ON PRIVATE PROPERTY,30,1 DRIFTWOOD CRT,ON
PARK ON PRIVATE PROPERTY,30,1 ELDORA AV,ON
PARK ON PRIVATE PROPERTY,30,1 ELMHURST AVE,ON
PARK ON PRIVATE PROPERTY,30,1 FIELD SPARROWAY,ON
PARK ON PRIVATE PROPERTY,30,1 FIRVALLEY CRT,ON
PARK ON PRIVATE PROPERTY,30,1 FIRVALLEY CT,ON
PARK ON PRIVATE PROPERTY,30,1 FIVALLEY CRT,ON
PARK ON PRIVATE PROPERTY,30,1 FLEMINGTON ROAD,PQ
PARK ON PRIVATE PROPERTY,30,1 FLOOK LN,ON
PARK ON PRIVATE PROPERTY,30,1 FLORIST LANE,ON
PARK ON PRIVATE PROPERTY,30,1 FOUNDRY AVE,ON
PARK ON PRIVATE PROPERTY,30,1 FOUNTAINHEAD RD,ON
PARK ON PRIVATE PROPERTY,30,1 FOUNTAINHEAD RD,PA
PARK ON PRIVATE PROPERTY,30,1 FOUNTAINHEAD RD,QC
PARK ON PRIVATE PROPERTY,30,1 FRONT ST E,ON
PARK ON PRIVATE PROPERTY,30,1 GLAMORGAN AVE ,ON
PARK ON PRIVATE PROPERTY,30,1 GREYSTONE WALK DR,ON
PARK ON PRIVATE PROPERTY,30,1 HANSON ST,ON
PARK ON PRIVATE PROPERTY,30,1 HARVARD AVE,ON
PARK ON PRIVATE PROPERTY,30,1 HICKORY TREE RD,ON
PARK ON PRIVATE PROPERTY,30,1 JEFFERSON AVE,ON
PARK ON PRIVATE PROPERTY,30,1 KING'S COLLEGE CIR,ON
PARK ON PRIVATE PROPERTY,30,1 KING'S COLLEGE CIRCLE,ON
PARK ON PRIVATE PROPERTY,30,1 KINGS COLLEGE CICLE,ON
PARK ON PRIVATE PROPERTY,30,1 KINGS COLLEGE CIR,ON
PARK ON PRIVATE PROPERTY,30,1 KINGS COLLEGE CIR,PQ
PARK ON PRIVATE PROPERTY,30,1 KINGS COLLEGE CIRCLE,ON
PARK ON PRIVATE PROPERTY,30,1 LEE CENTRE DR,ON
PARK ON PRIVATE PROPERTY,30,1 LOWTHER AVE,ON
PARK ON PRIVATE PROPERTY,30,1 MASSEY SQ,ON
PARK ON PRIVATE PROPERTY,30,1 MICHAEL POWER PL,ON
PARK ON PRIVATE PROPERTY,30,1 MOUNT OLIVE DR,ON
PARK ON PRIVATE PROPERTY,30,1 NORMAN WESLEY WY,ON
PARK ON PRIVATE PROPERTY,30,1 OAK ST,ON
PARK ON PRIVATE PROPERTY,30,1 OLD MILL DR,AB
PARK ON PRIVATE PROPERTY,30,1 OLD MILL DR,ON
PARK ON PRIVATE PROPERTY,30,1 ORIOLE RD,ON
PARK ON PRIVATE PROPERTY,30,1 OSCAR ROMERO PL,ON
PARK ON PRIVATE PROPERTY,30,1 PARKMOUNT RD,ON
PARK ON PRIVATE PROPERTY,30,1 PEMBERTON AVE,ON
PARK ON PRIVATE PROPERTY,30,1 PHIN AVE,KS
PARK ON PRIVATE PROPERTY,30,1 PLAYTER CRES,BC
